Player,Team,DYAR,Year
G.Camarillo,MIN,37,2010
J.Cribbs,CLE,37,2010
S.Rice,MIN,36,2010
R.Davis,CHI,35,2010
M.Spurlock,TB,25,2010
B.Finneran,ATL,25,2010
D.Thomas,DEN,25,2010
A.Randle El,PIT,23,2010
L.Naanee,SD,21,2010
N.Roosevelt,BUF,20,2010
D.Williams,TEN,18,2010
S.Stroughter,TB,10,2010
S.Hurd,DAL,7,2010
D.Clowney,CAR,7,2010
B.Robiskie,CLE,5,2010
R.Cooper,PHI,5,2010
R.Wallace,MIA,4,2010
M.Clayton,STL,4,2010
J.Gage,TEN,3,2010
D.Anderson,HOU,2,2010
C.Davis,SD,-2,2010
D.Zeigler,SF,-6,2010
M.Moore,MIA,-12,2010
T.Copper,KC,-14,2010
P.Parker,TB,-15,2010
C.Hall,PHI,-16,2010
D.Hagan,NYG,-16,2010
J.Edelman,NE,-17,2010
D.McCluster,KC,-17,2010
T.Underwood,JAC,-18,2010
B.James,IND,-21,2010
R.Williams,WAS,-23,2010
V.Tucker,KC,-23,2010
S.Williams,ARI,-27,2010
K.Osgood,JAC,-29,2010
C.Chambers,KC,-30,2010
D.Aromashodu,CHI,-31,2010
M.Gilyard,STL,-38,2010
G.Lewis,MIN,-40,2010
G.Tate,SEA,-41,2010
M.Komar,ARI,-44,2010
T.Ginn,SF,-60,2010
D.Jones,BUF,-74,2010
J.L.Higgins,OAK,-83,2010
J.Galloway,WAS,-84,2010
A.Roberts,ARI,-99,2010
B.Johnson,DET,-109,2010
